split,tau,tp,fp,tn,fn,tpr,fpr,precision,recall,f1,J
negative,0.7899995446205139,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.7999995350837708,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8099995255470276,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8199995160102844,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8299995064735413,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8399994969367981,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8499994874000549,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8599994778633118,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8699994683265686,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8799994587898254,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8899994492530823,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.8999994397163391,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.909999430179596,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.9199994206428528,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.9299994111061096,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.9399994015693665,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.9499993920326233,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
